Dystans do przejścia: 20, długość kroku: 1
0: (x,y) = (-0.300564, -0.953762)
1: (x,y) = (0.325781, 0.945445)
2: (x,y) = (0.787715, -0.61604)
3: (x,y) = (0.748078, -0.663611)
4: (x,y) = (0.979355, 0.20215)
5: (x,y) = (0.914742, -0.404038)
6: (x,y) = (0.918271, 0.395953)
7: (x,y) = (0.989988, 0.14115)
8: (x,y) = (-0.136767, 0.990603)
9: (x,y) = (0.612572, -0.790415)
10: (x,y) = (0.803775, 0.594933)
11: (x,y) = (0.994364, 0.106017)
12: (x,y) = (0.110417, -0.993885)
13: (x,y) = (0.400013, -0.916509)
14: (x,y) = (0.440143, -0.897928)
15: (x,y) = (0.653666, -0.756783)
16: (x,y) = (0.798496, -0.602)
17: (x,y) = (0.232359, 0.97263)
18: (x,y) = (-0.3174, -0.948292)
19: (x,y) = (0.887983, -0.459877)
20: (x,y) = (-0.40811, 0.912933)
21: (x,y) = (0.989997, -0.14109)
22: (x,y) = (0.798496, -0.602)
23: (x,y) = (0.742154, 0.670229)
24: (x,y) = (0.692874, 0.721059)
25: (x,y) = (0.487188, -0.873297)
26: (x,y) = (0.748078, -0.663611)
27: (x,y) = (-0.824348, 0.566083)
28: (x,y) = (0.962598, 0.270935)
29: (x,y) = (-0.957659, -0.287903)
30: (x,y) = (0.215105, 0.976591)
31: (x,y) = (0.883863, 0.467745)
32: (x,y) = (-0.0397908, -0.999208)
33: (x,y) = (-0.0751361, -0.997173)
34: (x,y) = (0.455969, -0.889996)
35: (x,y) = (-0.640144, -0.768255)
36: (x,y) = (0.487188, -0.873297)
37: (x,y) = (-0.993387, -0.114815)
38: (x,y) = (-0.249569, 0.968357)
39: (x,y) = (0.350797, -0.936451)
40: (x,y) = (0.660317, -0.750987)
41: (x,y) = (0.992332, 0.123603)
42: (x,y) = (-0.984377, -0.176076)
43: (x,y) = (-0.0663369, 0.997797)
44: (x,y) = (-0.463829, 0.885925)
45: (x,y) = (-0.59137, 0.806401)
46: (x,y) = (0.471652, -0.881785)
47: (x,y) = (0.162961, 0.986633)
48: (x,y) = (0.359044, 0.933321)
49: (x,y) = (0.562429, 0.826846)
50: (x,y) = (-0.992335, 0.123573)
51: (x,y) = (0.232359, 0.97263)
52: (x,y) = (0.517796, -0.855504)
53: (x,y) = (0.999373, 0.0353983)
54: (x,y) = (0.742154, 0.670229)
55: (x,y) = (0.471652, -0.881785)
56: (x,y) = (0.999648, -0.026521)
57: (x,y) = (-0.275163, -0.961397)
58: (x,y) = (0.640167, -0.768235)
59: (x,y) = (-0.692896, 0.721038)
60: (x,y) = (-0.84857, 0.529083)
61: (x,y) = (0.189129, -0.981952)
62: (x,y) = (0.883863, 0.467745)
63: (x,y) = (0.206482, -0.97845)
64: (x,y) = (-0.440116, -0.897941)
65: (x,y) = (0.819306, -0.573357)
Po 66 krokach delikwent osiągnął położenie:
(x,y) = (19.0248, -6.90119)
 czyli
(m,a) = (20.2378, -19.9381)
